user_id,age,total_purchases,customer_lifetime_value,preferred_category,device_type,browsing_time_minutes,avg_order_value,customer_segment,signup_date
1,25,5,1250.50,Electronics,Mobile,45,250.10,High Value,2023-01-15
2,34,12,3200.75,Fashion,Desktop,120,266.73,High Value,2022-11-08
3,28,3,750.25,Books,Mobile,30,250.08,Medium Value,2023-03-22
4,45,8,1800.00,Home & Garden,Desktop,90,225.00,High Value,2022-09-12
5,22,2,450.80,Electronics,Mobile,25,225.40,Low Value,2023-05-18
6,38,15,4200.30,Fashion,Desktop,150,280.02,High Value,2022-07-03
7,29,6,1350.60,Books,Tablet,60,225.10,Medium Value,2023-02-14
8,51,4,900.45,Home & Garden,Desktop,40,225.11,Medium Value,2023-04-07
9,26,7,1750.85,Electronics,Mobile,80,250.12,High Value,2023-01-29
10,33,9,2250.90,Fashion,Desktop,110,250.10,High Value,2022-12-05
11,24,1,200.25,Books,Mobile,15,200.25,Low Value,2023-06-12
12,42,11,2750.55,Home & Garden,Desktop,130,250.05,High Value,2022-08-20
13,31,5,1150.75,Electronics,Tablet,50,230.15,Medium Value,2023-03-08
14,27,8,2000.40,Fashion,Mobile,95,250.05,High Value,2023-02-28
15,36,13,3250.80,Books,Desktop,140,250.06,High Value,2022-10-15
16,23,3,675.30,Electronics,Mobile,35,225.10,Medium Value,2023-05-03
17,48,6,1350.25,Home & Garden,Desktop,70,225.04,Medium Value,2023-01-12
18,30,10,2500.65,Fashion,Tablet,105,250.07,High Value,2022-11-25
19,25,4,900.50,Books,Mobile,45,225.13,Medium Value,2023-04-18
20,39,14,3500.75,Electronics,Desktop,155,250.05,High Value,2022-09-07
21,28,7,1750.40,Home & Garden,Mobile,85,250.06,High Value,2023-02-11
22,32,5,1250.85,Fashion,Desktop,55,250.17,Medium Value,2023-03-15
23,26,2,450.60,Books,Tablet,20,225.30,Low Value,2023-06-05
24,44,9,2250.90,Electronics,Desktop,100,250.10,High Value,2022-12-18
25,29,11,2750.25,Home & Garden,Mobile,115,250.02,High Value,2022-10-03
26,35,6,1350.70,Fashion,Desktop,65,225.12,Medium Value,2023-01-25
27,24,3,675.45,Books,Mobile,40,225.15,Medium Value,2023-05-12
28,41,12,3000.80,Electronics,Tablet,125,250.07,High Value,2022-08-14
29,27,8,2000.35,Home & Garden,Mobile,90,250.04,High Value,2023-02-22
30,33,4,1000.60,Fashion,Desktop,50,250.15,Medium Value,2023-04-09
